學校代碼,學校名稱,高級中等學校原住民一年級學生數,高級中等學校原住民二年級學生數,高級中等學校原住民三年級學生數,高級中等學校原住民四年級學生數,高級中等學校原住民延修生學生數,高級中等學校上學年度原住民畢業生人數
150405,國立花蓮高商,105,85,83,0,0,77
150411,國立光復商工,47,48,49,0,0,53
151410,花蓮縣上騰工商,112,83,76,0,0,43
160401,國立澎湖海事水產,1,0,3,0,0,1
170403,國立基隆海事,32,21,15,0,0,10
170404,國立基隆商工,23,16,17,0,0,13
171405,私立光隆家商,4,19,8,0,0,12
171407,私立培德工家,2,5,1,0,0,7
180403,國立新竹高商,19,15,17,0,0,22
180404,國立新竹高工,9,12,11,0,0,14
190406,國立興大附農,26,29,24,0,0,25
191412,財團法人光華高工,1,3,2,0,0,3
193404,市立臺中家商,20,13,22,0,0,14
193407,市立臺中高工,24,19,20,0,0,22
200401,國立華南高商,8,2,2,0,0,5
200405,國立嘉義高工,10,10,9,0,1,10
200406,國立嘉義高商,1,6,2,0,0,4
200407,國立嘉義家職,4,5,1,0,0,5
201408,私立東吳工家,16,12,17,0,0,16
210408,國立臺南高商,12,9,13,0,0,8
210416,國立臺南海事,0,3,0,0,0,2
211407,私立南英商工,14,8,15,0,0,14
211412,私立亞洲餐旅,3,3,5,0,0,1
211419,私立慈幼工商,5,5,4,0,0,9
311401,私立育達家商,39,43,53,0,0,32
323401,市立松山家商,7,8,12,0,0,15
323402,市立松山工農,15,10,13,0,0,6
331402,私立東方工商,16,11,9,0,0,11
331403,私立喬治工商,14,8,6,0,0,4
331404,私立開平餐飲,3,10,8,0,0,5
333401,市立大安高工,13,24,22,0,0,14
341402,私立稻江護家,1,4,6,0,0,7
351402,私立開南商工,4,3,1,0,0,5
361401,私立稻江高商,2,5,5,0,0,8
383401,市立木柵高工,4,5,12,0,0,6
393401,市立南港高工,17,12,22,0,1,10
403401,市立內湖高工,8,6,12,0,0,3
411401,私立華岡藝校,10,13,11,0,0,15
413401,市立士林高商,15,17,14,0,0,14
421404,私立惇敘工商,3,6,3,0,1,3
521401,私立中華藝校,19,18,14,0,0,10
533401,市立海青工商,11,20,16,0,0,9
533402,市立三民家商,12,20,16,0,0,14
551402,私立樹德家商,51,57,42,0,0,55
553401,市立高雄高工,20,21,18,0,0,9
563401,市立高雄高商,14,11,12,0,0,14
581401,私立國際商工,1,0,0,0,0,0
581402,私立三信家商,21,19,30,0,0,22
593401,市立中正高工,15,20,16,0,0,13
610405,國立高餐大附屬餐旅中學,0,0,3,0,0,4
611401,私立高鳳工家,0,0,3,0,0,3
710401,國立金門農工,10,9,4,0,1,1
351B09,私立南華高中進修學校,4,16,23,0,0,16
361B09,私立志仁中學進修學校,15,17,25,0,0,21
011C71,私立光華高商進修學校,4,12,6,0,0,4
210C01,國立成功大學附設高工進修學校,2,0,1,0,0,0
070F01,國立和美實驗學校,4,2,1,0,0,0
543F01,市立楠梓特殊學校,1,0,0,0,0,0
031G91,私立宏德高商進修學校,0,0,1,0,0,0
074G91,縣立田中高中附設進修部學校,2,0,0,0,0,0
